,player_name,position,team_display,opponent,prop_type,sportsbook,line,price,model_prediction,sigma,p_win_pct,edge_pct,roi_pct,kelly_pct,stake,recommendation
145,Khalil Herbert,RB,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
146,Mike Williams,RB,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
147,Pat Freiermuth,TE,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
148,Samuel Jefferson,WR,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
149,Geno Smith,QB,"SEA [proj=SEA, odds=LV]",PIT,Rushing Yards,DraftKings,9.5,-106,52.92770263511986,32.53747405023814,90.90124012950407,39.44492944989243,76.65712704413056,2,20,BET
150,Geno Smith,QB,"SEA [proj=SEA, odds=LV]",PIT,Rushing Yards,BetMGM,9.5,-110,52.92770263511986,32.53747405023814,90.90124012950407,38.520287748551695,73.53873115632598,2,20,BET
151,Geno Smith,QB,"SEA [proj=SEA, odds=LV]",PIT,Rushing Yards,BetOnline.ag,9.5,-114,52.92770263511986,32.53747405023814,90.90124012950407,37.63021209212091,70.63917006766556,2,20,BET
152,Geno Smith,QB,"SEA [proj=SEA, odds=LV]",PIT,Rushing Yards,FanDuel,9.5,-114,52.92770263511986,32.53747405023814,90.90124012950407,37.63021209212091,70.63917006766556,2,20,BET
153,Geno Smith,QB,"SEA [proj=SEA, odds=LV]",PIT,Rushing Yards,Bovada,9.5,-115,52.92770263511986,32.53747405023814,90.90124012950407,37.412868036480816,69.94579676385544,2,20,BET
154,Trevor Lawrence,QB,"JAX [proj=JAX, odds=ARI]",KC,Rushing Yards,DraftKings,15.5,-117,54.17733688502819,32.53747405023814,88.27213806156394,34.355087370319694,63.718409909054486,2,20,BET
155,Trevor Lawrence,QB,"JAX [proj=JAX, odds=ARI]",KC,Rushing Yards,BetOnline.ag,15.5,-119,54.17733688502819,32.53747405023814,88.27213806156394,33.93423851818495,62.450405340189086,2,20,BET
156,Trevor Lawrence,QB,"JAX [proj=JAX, odds=ARI]",KC,Rushing Yards,BetMGM,19.5,-110,54.17733688502819,32.53747405023814,85.67353060067526,33.29257821972288,63.558558419470955,2,20,BET
157,David Montgomery,RB,DET,DEN,Rushing Yards,BetMGM,50.5,-110,82.42405489689098,32.53747405023814,83.67399466438557,31.29304228343319,59.74126254109975,2,20,BET
158,David Montgomery,RB,DET,DEN,Rushing Yards,BetRivers,50.5,-112,82.42405489689098,32.53747405023814,83.67399466438557,30.843805985140293,58.38291847187269,2,20,BET
159,Daniel Jones,QB,"NYG [proj=NYG, odds=KC]",NO,Rushing Yards,BetRivers,16.5,-110,47.69572359263979,32.53747405023814,83.11609032180513,30.735137940852752,58.676172432537086,2,20,BET
160,Daniel Jones,QB,"NYG [proj=NYG, odds=KC]",NO,Rushing Yards,DraftKings,16.5,-110,47.69572359263979,32.53747405023814,83.11609032180513,30.735137940852752,58.676172432537086,2,20,BET
161,Daniel Jones,QB,"NYG [proj=NYG, odds=KC]",NO,Rushing Yards,FanDuel,15.5,-114,47.69572359263979,32.53747405023814,83.87899111395978,30.607963076576617,57.457053494626265,2,20,BET
162,Daniel Jones,QB,"NYG [proj=NYG, odds=KC]",NO,Rushing Yards,BetMGM,14.5,-118,47.69572359263979,32.53747405023814,84.61904233818957,30.490601971217103,56.33009516716378,2,20,BET
163,Daniel Jones,QB,"NYG [proj=NYG, odds=KC]",NO,Rushing Yards,BetOnline.ag,16.5,-112,47.69572359263979,32.53747405023814,83.11609032180513,30.285901642559853,57.32688525198828,2,20,BET
164,David Montgomery,RB,DET,DEN,Rushing Yards,DraftKings,51.5,-113,82.42405489689098,32.53747405023814,82.90489088472609,29.85324769223783,56.272050959704934,2,20,BET
165,Daniel Jones,QB,"NYG [proj=NYG, odds=KC]",NO,Rushing Yards,Bovada,16.5,-115,47.69572359263979,32.53747405023814,83.11609032180513,29.627718228781873,55.3909514712009,2,20,BET
166,David Montgomery,RB,DET,DEN,Rushing Yards,BetOnline.ag,51.5,-116,82.42405489689098,32.53747405023814,82.90489088472609,29.20118718102238,54.37462440604168,2,20,BET
167,David Montgomery,RB,DET,DEN,Rushing Yards,FanDuel,52.5,-114,82.42405489689098,32.53747405023814,82.11299222588364,28.84196418850047,54.141932774904376,2,20,BET
