name,position,team,age_2024,2023_rush_yds,2023_rec_yds,2024_proj_rush,2024_proj_rec,2024_proj_total,rush_change,rec_change
Cedric Tillman,WR,CLE,24,8,224,8,252,260,0,28
Dontayvion Wicks,WR,GNB,23,1,581,1,524,525,0,-57
Jonathan Williams,RB,WAS,30,-2,0,0,0,0,2,0
Mike Williams,WR,LAC,30,3,249,3,248,251,0,-1
Robert Woods,WR,HOU,32,7,426,7,505,512,0,79
Davante Adams,WR,LVR,32,0,1144,0,1078,1078,0,-66
Nate Adkins,TE,DEN,25,0,22,0,38,38,0,16
Nelson Agholor,WR,BAL,31,0,381,0,441,441,0,60
Brandon Aiyuk,WR,SFO,26,0,1342,0,1002,1002,0,-340
Jordan Akins,TE,CLE,32,0,132,0,175,175,0,43
Mo Alie-Cox,TE,IND,31,0,161,0,172,172,0,11
Davis Allen,TE,LAR,23,0,95,0,100,100,0,5
Alex Armah,RB,WAS,30,0,13,0,34,34,0,21
John Bates,TE,WAS,27,0,151,0,174,174,0,23
Odell Beckham Jr.,WR,BAL,32,0,565,0,469,469,0,-96
Blake Bell,TE,KAN,33,0,26,0,43,43,0,17
David Bell,WR,CLE,24,0,167,0,190,190,0,23
Ronnie Bell,WR,SFO,24,0,68,0,56,56,0,-12
Daniel Bellinger,TE,NYG,24,0,255,0,283,283,0,28
Kayshon Boutte,WR,NWE,22,0,19,0,22,22,0,3
Miles Boykin,WR,PIT,28,0,17,0,28,28,0,11
Jalen Brooks,WR,DAL,24,0,64,0,60,60,0,-4
A.J. Brown,WR,PHI,27,0,1456,0,1227,1227,0,-229
Pharaoh Brown,TE,NWE,30,0,208,0,171,171,0,-37
Jason Brownlee,WR,NYJ,25,0,56,0,60,60,0,4
Damiere Byrd,WR,ATL,31,0,0,0,0,0,0,0
Lawrence Cager,TE,NYG,27,0,36,0,40,40,0,4
Grant Calcaterra,TE,PHI,26,0,39,0,37,37,0,-2
Parris Campbell,WR,NYG,27,0,104,0,242,242,0,138
DJ Chark,WR,CAR,28,0,525,0,472,472,0,-53
Irvin Charles,WR,NYJ,27,0,0,0,0,0,0,0
Robbie Chosen,WR,MIA,31,0,126,0,47,47,0,-79
Chase Claypool,WR,2TM,26,0,77,0,106,106,0,29
Randall Cobb,WR,NYJ,34,0,39,0,52,52,0,13
Chris Conley,WR,SFO,32,0,69,0,37,37,0,-32
Elijah Cooks,WR,JAX,26,0,38,0,30,30,0,-8
Amari Cooper,WR,CLE,30,0,1250,0,907,907,0,-343
Britain Covey,WR,PHI,27,0,42,0,37,37,0,-5
River Cracraft,WR,MIA,30,0,121,0,109,109,0,-12
Jamison Crowder,WR,WAS,31,0,159,0,228,228,0,69
Josiah Deguara,TE,GNB,27,0,65,0,76,76,0,11
Will Dissly,TE,SEA,28,0,172,0,175,175,0,3
Phillip Dorsett,WR,DEN,31,0,0,0,0,0,0,0
Keelan Doss,WR,LAC,28,0,33,0,60,60,0,27
Jahan Dotson,WR,WAS,24,0,518,0,639,639,0,121
Romeo Doubs,WR,GNB,24,0,674,0,710,710,0,36
Colton Dowell,WR,TEN,25,0,3,0,11,11,0,8
Josh Downs,WR,IND,23,0,771,0,851,851,0,80
Greg Dulcich,TE,DEN,24,0,25,0,30,30,0,5
Payne Durham,TE,TAM,24,0,58,0,52,52,0,-6
Ross Dwelley,TE,SFO,29,0,12,0,7,7,0,-5
Evan Engram,TE,JAX,30,0,963,0,1195,1195,0,232
Alex Erickson,WR,LAC,32,0,232,0,228,228,0,-4
Zach Ertz,TE,ARI,34,0,187,0,245,245,0,58
Mike Evans,WR,TAM,31,0,1255,0,913,913,0,-342
Noah Fant,TE,SEA,27,0,414,0,363,363,0,-51
Luke Farrell,TE,JAX,27,0,155,0,159,159,0,4
Simi Fehoko,WR,LAC,27,0,9,0,9,9,0,0
Jake Ferguson,TE,DAL,25,0,761,0,782,782,0,21
Tucker Fisk,TE,ATL,25,0,9,0,7,7,0,-2
John FitzPatrick,TE,ATL,24,0,12,0,8,8,0,-4
Cole Fotheringham,TE,LVR,27,0,6,0,7,7,0,1
Pat Freiermuth,TE,PIT,26,0,308,0,350,350,0,42
Michael Gallup,WR,DAL,28,0,418,0,421,421,0,3
Mike Gesicki,TE,NWE,29,0,244,0,284,284,0,40
Jimmy Graham,TE,NOR,38,0,39,0,54,54,0,15
Antoine Green,WR,DET,25,0,2,0,11,11,0,9
Jalen Guyton,WR,LAC,27,0,89,0,110,110,0,21
Jamycal Hasty,RB,JAX,28,0,0,0,0,0,0,0
Malik Heath,WR,GNB,24,0,125,0,198,198,0,73
Hunter Henry,TE,NWE,30,0,419,0,476,476,0,57
Tyler Higbee,TE,LAR,31,0,495,0,495,495,0,0
Elijah Higgins,TE,ARI,24,0,163,0,161,161,0,-2
Tee Higgins,WR,CIN,25,0,656,0,568,568,0,-88
Julian Hill,TE,MIA,24,0,48,0,54,54,0,6
T.J. Hockenson,TE,MIN,27,0,960,0,998,998,0,38
Isaiah Hodgins,WR,NYG,26,0,230,0,253,253,0,23
Mack Hollins,WR,ATL,31,0,251,0,255,255,0,4
Travis Homer,RB,CHI,26,0,0,0,0,0,0,0
Austin Hooper,TE,LVR,30,0,234,0,277,277,0,43
Brycen Hopkins,TE,LAR,27,0,78,0,52,52,0,-26
Jesper Horsted,TE,LVR,27,0,4,0,7,7,0,3
Tanner Hudson,TE,CIN,30,0,352,0,377,377,0,25
Lil'Jordan Humphrey,WR,DEN,26,0,162,0,211,211,0,49
Hayden Hurst,TE,CAR,31,0,184,0,196,196,0,12
Jalin Hyatt,WR,NYG,23,0,373,0,295,295,0,-78
Andrei Iosivas,WR,CIN,25,0,116,0,200,200,0,84
Trenton Irwin,WR,CIN,29,0,316,0,299,299,0,-17
Shedrick Jackson,WR,CIN,25,0,0,0,0,0,0,0
Trishton Jackson,WR,MIN,26,0,9,0,22,22,0,13
Richie James,WR,KAN,29,0,114,0,110,110,0,-4
Jauan Jennings,WR,SFO,27,0,265,0,243,243,0,-22
Jerry Jeudy,WR,DEN,25,0,758,0,687,687,0,-71
Brandon Johnson,WR,DEN,26,0,284,0,244,244,0,-40
Collin Johnson,WR,CHI,27,0,11,0,9,9,0,-2
Diontae Johnson,WR,PIT,28,0,717,0,503,503,0,-214
Juwan Johnson,TE,NOR,28,0,368,0,382,382,0,14
Tyler Johnson,WR,LAR,26,0,8,0,15,15,0,7
Julio Jones,WR,PHI,35,0,74,0,108,108,0,34
Marvin Jones,WR,DET,34,0,35,0,54,54,0,19
Tim Jones,WR,JAX,26,0,83,0,103,103,0,20
Zay Jones,WR,JAX,29,0,321,0,445,445,0,124
Brevin Jordan,TE,HOU,24,0,219,0,180,180,0,-39
Travis Kelce,TE,KAN,35,0,984,0,970,970,0,-14
